Source_id,Sanskrit,English,Similarity
80,जलस्य मात्रा पादप्रजाते: उपरि निर्भरा वर्तते ।,With regard to the amount of water to use one needs to consider the species of the flowers and their water requirements.,0.87783456
38,"""अनन्तरं सिदूकिनाम् निरुत्तरत्ववार्तां निशम्य फिरूशिन एकत्र मिलितवन्तः,""","""But when the Pharisees had heard that he had put the Sadducees to silence, they were gathered together.""",0.7822013
66,श्वास लेने और छोडने के समय पर ध्यान दें ।,Observe the time of your inhalation and exhalation.,0.8080677
55,फ़ैल् लोकेशन् इतीदं Desktop इति चिन्वन्तु । Save button नुदन्तु ।,Choose the file location as Desktop. Click on Save button.,0.9121024
16,AdminSection.java इत्यत्र गच्छतु ।,Go to AdminSection.java.,0.8986603
21,अत्र थ्री इस् ईक्वल् टु थ्री इति दर्शयति ।,Here we see it is showing 3 is equal to 3.,0.72751224
100,"""तादृशान् लोकान् अस्मतप्रभो र्यीशुख्रीष्टस्य नाम्ना वयम् इदम् आदिशाम आज्ञापयामश्च, ते शान्तभावेन कार्य्यं कुर्व्वन्तः स्वकीयमन्नं भुञ्जतां।""","""Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread.""",0.8724226
26,बाल: भवत्सु प्रेमं प्रकटयति ।,Boy displays love in you.,0.88893634
57,"""हे भ्रातरोऽहमिदं ब्रवीमि, इतः परं समयोऽतीव संक्षिप्तः,""","""But this I say, brethren, the time is short: it remaineth, that both they that have wives be as though they had none;""",0.8659451
18,अधुना टङ्कणमारभामहे।,"Now, let us start typing.",0.73990893
